id,idade,altura,peso,imc,sexo,escolaridade,profissao,fumante.f,fumante.n,salario,carros,filhos
1,27,1.38,50.17,26.34,F,Doutorado,Exatas,não,0,2070.66,3,1
2,37,1.53,56.11,23.97,F,PósDoc,Humanas,não,0,12774.29,1,0
3,43,1.61,59.34,22.89,M,Mestrado,Humanas,não,0,20844.41,3,0
4,19,1.27,45.62,28.28,F,Doutorado,Humanas,não,0,13456.98,1,0
5,38,1.54,56.72,23.92,M,3º Grau,Biológicas,sim,1,14291.25,2,2
6,39,1.55,57.02,23.73,F,3º Grau,Biológicas,não,0,15060.56,1,2
7,31,1.44,52.7,25.41,M,3º Grau,Biológicas,não,0,4252.6,2,2
8,31,1.45,52.81,25.12,F,PósDoc,Humanas,não,0,4533.68,3,0
9,31,1.44,52.74,25.43,F,3º Grau,Biológicas,sim,1,4355.48,1,2
10,29,1.41,51.44,25.87,F,2º Grau,Humanas,não,0,1099.62,3,0
11,32,1.45,53.09,25.25,F,2º Grau,Exatas,sim,1,5228.07,3,1
12,28,1.4,51.01,26.03,F,1º Grau,Humanas,não,0,16.14,3,0
13,30,1.42,51.89,25.73,F,Doutorado,Humanas,não,0,2237.46,3,0
14,35,1.51,55.26,24.24,M,3º Grau,Humanas,sim,1,10644.59,1,0
15,42,1.6,58.84,22.98,F,2º Grau,Exatas,não,0,19594.94,1,1
16,34,1.49,54.56,24.58,F,Analfabeto,Humanas,sim,1,8897.15,2,0
17,31,1.45,52.96,25.19,M,1º Grau,Exatas,não,0,4889.9,3,1
18,29,1.41,51.36,25.83,M,Doutorado,Humanas,não,0,888.05,2,0
19,29,1.42,51.65,25.61,F,Analfabeto,Exatas,não,0,1628.28,1,1
20,52,1.74,64.66,21.36,F,2º Grau,Biológicas,não,0,34158.35,3,2
21,36,1.51,55.54,24.36,M,2º Grau,Humanas,não,0,11340.88,1,0
22,32,1.45,53.04,25.23,M,2º Grau,Biológicas,não,0,5093.14,2,2
23,32,1.46,53.24,24.98,F,2º Grau,Humanas,não,0,5594.52,0,0
24,38,1.55,56.84,23.66,F,PósDoc,Biológicas,não,0,14595.89,3,2
25,30,1.43,52.23,25.54,M,3º Grau,Humanas,não,0,3062.8,1,0
26,25,1.36,49.21,26.61,F,Doutorado,Biológicas,sim,1,4482.05,0,2
27,39,1.56,57.3,23.55,M,Analfabeto,Biológicas,não,0,15747.56,3,2
28,28,1.4,50.91,25.97,M,3º Grau,Biológicas,sim,1,236.56,0,2
29,35,1.5,54.94,24.42,M,1º Grau,Biológicas,sim,1,9848.62,2,2
30,28,1.41,51.26,25.78,F,Analfabeto,Humanas,não,0,640.51,3,0
31,43,1.61,59.41,22.92,F,1º Grau,Humanas,não,0,21022.98,1,0
32,32,1.45,53.1,25.26,F,2º Grau,Biológicas,não,0,5244.07,1,2
33,30,1.43,52.16,25.51,F,2º Grau,Humanas,não,0,2905.6,2,0
34,31,1.45,52.99,25.2,M,Doutorado,Biológicas,não,0,4987.42,1,2
35,24,1.34,48.48,27,F,Doutorado,Humanas,não,0,6290.93,3,0
36,27,1.38,50.33,26.43,F,Mestrado,Exatas,sim,1,1676.19,2,1
37,20,1.28,46.28,28.25,M,2º Grau,Exatas,não,0,11800.4,3,1
38,26,1.37,49.64,26.45,F,1º Grau,Exatas,não,0,3409.93,0,1
39,33,1.47,53.82,24.91,M,2º Grau,Humanas,sim,1,7057.06,3,0
40,32,1.45,53.14,25.27,F,1º Grau,Biológicas,sim,1,5341.02,1,2
41,45,1.64,60.8,22.61,F,3º Grau,Humanas,não,0,24494.96,0,0
42,28,1.39,50.73,26.26,M,2º Grau,Exatas,não,0,686.43,3,1
43,29,1.41,51.58,25.94,F,PósDoc,Humanas,não,0,1446.35,0,0
44,33,1.47,53.88,24.93,F,Mestrado,Biológicas,não,0,7193.77,2,2
45,28,1.4,51.02,26.03,M,Analfabeto,Humanas,não,0,56.6,2,0
46,28,1.4,51.13,26.09,F,PósDoc,Exatas,não,0,314.86,1,1
47,27,1.39,50.57,26.17,F,Doutorado,Exatas,sim,1,1073.18,2,1
48,26,1.37,49.99,26.63,M,Mestrado,Exatas,não,0,2519.86,0,1
49,31,1.45,52.9,25.16,F,PósDoc,Humanas,não,0,4761.72,1,0
50,32,1.45,53.01,25.21,F,1º Grau,Humanas,sim,1,5031.5,1,0
51,22,1.32,47.78,27.42,F,Mestrado,Exatas,não,0,8060.31,0,1
52,31,1.44,52.67,25.4,F,3º Grau,Exatas,não,0,4179.24,1,1
53,27,1.39,50.56,26.17,F,2º Grau,Biológicas,sim,1,1088.9,1,2
54,28,1.4,50.94,25.99,F,2º Grau,Exatas,não,0,149.62,1,1
55,34,1.48,54.35,24.81,F,Mestrado,Humanas,não,0,8376.9,3,0
56,39,1.56,57.25,23.52,F,Mestrado,Exatas,não,0,15630.56,3,1
